year,date,stage,home_team,away_team,home_goals,away_goals,winner,match_id,goal_diff,result
1974,1974-06-10,Quarter-finals,South Korea,Sweden,0,0,Draw,1,0,Draw
1974,1974-06-10,Quarter-finals,Ghana,Switzerland,2,0,Ghana,2,2,Win
1974,1974-06-10,Group Stage,Sweden,Saudi Arabia,2,0,Sweden,3,2,Win
1974,1974-06-10,Group Stage,Cameroon,Uruguay,2,1,Cameroon,4,1,Win
1974,1974-06-10,Group Stage,Nigeria,Japan,2,1,Nigeria,5,1,Win
1974,1974-06-10,Group Stage,Saudi Arabia,Iran,2,0,Saudi Arabia,6,2,Win
1974,1974-06-11,Group Stage,Algeria,Cameroon,1,2,Cameroon,7,-1,Loss
1974,1974-06-11,Group Stage,Portugal,Argentina,1,2,Argentina,8,-1,Loss
1974,1974-06-11,Group Stage,Cameroon,Saudi Arabia,2,1,Cameroon,9,1,Win
1974,1974-06-12,Round of 16,USA,Costa Rica,0,0,Draw,10,0,Draw
1974,1974-06-12,Group Stage,Belgium,Egypt,1,2,Egypt,11,-1,Loss
1974,1974-06-12,Group Stage,Brazil,Germany,1,1,Draw,12,0,Draw
1974,1974-06-12,Round of 16,Denmark,Portugal,1,0,Denmark,13,1,Win
1974,1974-06-13,Group Stage,Senegal,Switzerland,0,2,Switzerland,14,-2,Loss
1974,1974-06-14,Group Stage,Nigeria,Tunisia,2,2,Draw,15,0,Draw
1974,1974-06-14,Group Stage,Netherlands,Portugal,1,1,Draw,16,0,Draw
1974,1974-06-14,Group Stage,Saudi Arabia,Japan,2,2,Draw,17,0,Draw
1974,1974-06-14,Group Stage,Morocco,Ghana,0,2,Ghana,18,-2,Loss
1974,1974-06-14,Group Stage,Croatia,Denmark,2,1,Croatia,19,1,Win
1974,1974-06-15,Group Stage,Croatia,Argentina,2,2,Draw,20,0,Draw
1974,1974-06-15,Group Stage,Australia,Uruguay,2,0,Australia,21,2,Win
1974,1974-06-15,Semi-finals,France,Algeria,1,0,France,22,1,Win
1974,1974-06-15,Group Stage,France,Mexico,1,0,France,23,1,Win
1974,1974-06-15,Group Stage,South Korea,Argentina,2,0,South Korea,24,2,Win
1974,1974-06-15,Group Stage,Egypt,Mexico,1,1,Draw,25,0,Draw
1974,1974-06-15,Group Stage,Morocco,Iran,2,1,Morocco,26,1,Win
1974,1974-06-15,Round of 16,Ghana,Germany,1,0,Ghana,27,1,Win
1974,1974-06-16,Group Stage,Mexico,Switzerland,2,1,Mexico,28,1,Win
1974,1974-06-16,Group Stage,Nigeria,Italy,3,1,Nigeria,29,2,Win
1974,1974-06-16,Group Stage,Japan,Nigeria,1,0,Japan,30,1,Win
1974,1974-06-17,Group Stage,Iran,Sweden,1,1,Draw,31,0,Draw
1974,1974-06-17,Group Stage,Egypt,Argentina,0,1,Argentina,32,-1,Loss
1974,1974-06-17,Group Stage,Belgium,Mexico,0,1,Mexico,33,-1,Loss
1974,1974-06-17,Round of 16,Brazil,Senegal,0,0,Draw,34,0,Draw
1974,1974-06-17,Group Stage,Sweden,Iran,1,1,Draw,35,0,Draw
1974,1974-06-18,Group Stage,Switzerland,Sweden,1,0,Switzerland,36,1,Win
1974,1974-06-18,Group Stage,Netherlands,Germany,1,0,Netherlands,37,1,Win
1974,1974-06-18,Group Stage,Poland,Saudi Arabia,1,1,Draw,38,0,Draw
1974,1974-06-18,Group Stage,Iran,Belgium,1,0,Iran,39,1,Win
1974,1974-06-20,Semi-finals,Algeria,Tunisia,1,0,Algeria,40,1,Win
1974,1974-06-20,Group Stage,Spain,Argentina,2,1,Spain,41,1,Win
1974,1974-06-20,Group Stage,Argentina,Denmark,2,1,Argentina,42,1,Win
1974,1974-06-21,Group Stage,Portugal,Switzerland,0,1,Switzerland,43,-1,Loss
1974,1974-06-21,Group Stage,Switzerland,Egypt,2,0,Switzerland,44,2,Win
1974,1974-06-21,Round of 16,Italy,Belgium,1,1,Draw,45,0,Draw
1974,1974-06-22,Group Stage,Iran,Sweden,3,2,Iran,46,1,Win
1974,1974-06-22,Final,Portugal,Spain,2,1,Portugal,47,1,Win
1974,1974-06-22,Third Place,Japan,Nigeria,1,2,Nigeria,48,-1,Loss
1974,1974-06-23,Quarter-finals,Senegal,Germany,1,0,Senegal,49,1,Win
1974,1974-06-23,Group Stage,Brazil,France,1,0,Brazil,50,1,Win
1974,1974-06-23,Group Stage,Australia,Iran,0,1,Iran,51,-1,Loss
1974,1974-06-23,Group Stage,Sweden,Mexico,1,1,Draw,52,0,Draw
1974,1974-06-24,Group Stage,Cameroon,Nigeria,1,0,Cameroon,53,1,Win
1974,1974-06-24,Group Stage,Tunisia,Uruguay,0,0,Draw,54,0,Draw
1974,1974-06-24,Round of 16,Switzerland,Morocco,0,0,Draw,55,0,Draw
1974,1974-06-24,Group Stage,Poland,Iran,0,2,Iran,56,-2,Loss
1974,1974-06-25,Round of 16,Germany,Poland,2,0,Germany,57,2,Win
1974,1974-06-25,Group Stage,Tunisia,Mexico,2,1,Tunisia,58,1,Win
